CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
544,47020,47020,"Victoria, TX","Victoria, TX Metro Area",M1,1,G3110,4491343500,36475960,+28.7314546,-097.1969934
,47080,47080,"Vidalia, GA","Vidalia, GA Micro Area",M2,2,G3110,1563141883,31477643,+32.1542177,-082.4113785
,47240,47240,"Vineyard Haven, MA","Vineyard Haven, MA Micro Area",M2,2,G3110,267309256,1004275270,+41.3809696,-070.7014995
545,47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",M1,1,G3110,6948499180,3237656435,+36.8560812,-076.3737908
546,47300,47300,"Visalia-Porterville, CA","Visalia-Porterville, CA Metro Area",M1,1,G3110,12494838453,37259234,+36.2288339,-118.7810551
,47340,47340,"Wabash, IN","Wabash, IN Micro Area",M2,2,G3110,1068205084,22117118,+40.8437475,-085.7951915
,47380,47380,"Waco, TX","Waco, TX Metro Area",M1,1,G3110,4668646550,81577695,+31.4272264,-097.0934727
,48060,48060,"Watertown-Fort Drum, NY","Watertown-Fort Drum, NY Metro Area",M1,1,G3110,3285895343,1524639909,+43.9963890,-076.0529678
244,47420,47420,"Wahpeton, ND-MN","Wahpeton, ND-MN Micro Area",M2,2,G3110,5663688397,25518466,+46.2939501,-096.7907012
,47460,47460,"Walla Walla, WA","Walla Walla, WA Metro Area",M1,1,G3110,5538991451,87497682,+46.2635366,-118.2558832
338,47540,47540,"Wapakoneta, OH","Wapakoneta, OH Micro Area",M2,2,G3110,1039603387,1345186,+40.5613090,-084.2240177
356,47580,47580,"Warner Robins, GA","Warner Robins, GA Metro Area",M1,1,G3110,2007363330,19128748,+32.4015944,-083.6350953
,47620,47620,"Warren, PA","Warren, PA Micro Area",M2,2,G3110,2289914225,37352304,+41.8436691,-079.3131731
312,47660,47660,"Warrensburg, MO","Warrensburg, MO Micro Area",M2,2,G3110,2147833558,10122996,+38.7415280,-093.8118634
,47700,47700,"Warsaw, IN","Warsaw, IN Micro Area",M2,2,G3110,1376361579,59509695,+41.2442928,-085.8615754
,47780,47780,"Washington, IN","Washington, IN Micro Area",M2,2,G3110,1112375531,19123262,+38.6960890,-087.0769440
274,47820,47820,"Washington, NC","Washington, NC Micro Area",M2,2,G3110,2154872483,338892301,+35.4823128,-076.8420144
548,47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",M1,1,G3110,16179837126,1124663821,+38.8169283,-077.4482275
198,47920,47920,"Washington Court House, OH","Washington Court House, OH Micro Area",M2,2,G3110,1052469899,1694037,+39.5552462,-083.4618927
,47940,47940,"Waterloo-Cedar Falls, IA","Waterloo-Cedar Falls, IA Metro Area",M1,1,G3110,3893052582,28123594,+42.5367962,-092.4716080
,47980,47980,"Watertown, SD","Watertown, SD Micro Area",M2,2,G3110,1780837027,76608850,+44.9662852,-097.1988375
376,48020,48020,"Watertown-Fort Atkinson, WI","Watertown-Fort Atkinson, WI Micro Area",M2,2,G3110,1441198727,68095317,+43.0138045,-088.7739847
,48100,48100,"Wauchula, FL","Wauchula, FL Micro Area",M2,2,G3110,1651867901,1439673,+27.4928458,-081.8215798
554,48140,48140,"Wausau, WI","Wausau, WI Metro Area",M1,1,G3110,4001465174,81219897,+44.8980363,-089.7578230
,48180,48180,"Waycross, GA","Waycross, GA Micro Area",M2,2,G3110,3193643597,46993509,+31.1331137,-082.3686504
276,49620,49620,"York-Hanover, PA","York-Hanover, PA Metro Area",M1,1,G3110,2341882815,16941833,+39.9217514,-076.7288887
566,49660,49660,"Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren-Boardman, OH-PA Metro Area",M1,1,G3110,4408711803,109163637,+41.2363015,-080.5618679
,48220,48220,"Weatherford, OK","Weatherford, OK Micro Area",M2,2,G3110,2561032754,34321688,+35.6456012,-098.9973857
430,48260,48260,"Weirton-Steubenville, WV-OH","Weirton-Steubenville, WV-OH Metro Area",M1,1,G3110,1502240257,29714225,+40.3889142,-080.7019657
472,49700,49700,"Yuba City, CA","Yuba City, CA Metro Area",M1,1,G3110,3197189484,46775303,+39.1609692,-121.5118327
,48300,48300,"Wenatchee, WA","Wenatchee, WA Metro Area",M1,1,G3110,12277657989,266187562,+47.8211284,-120.2675436
,48460,48460,"West Plains, MO","West Plains, MO Micro Area",M2,2,G3110,2401562307,2913502,+36.7743685,-091.8873677
