CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
440,41420,41420,"Salem, OR","Salem, OR Metro Area",M1,1,G3110,4976588654,34726553,+44.9033845,-122.9017571
,41460,41460,"Salina, KS","Salina, KS Micro Area",M2,2,G3110,3732070899,4371297,+38.9645697,-097.6633868
,41500,41500,"Salinas, CA","Salinas, CA Metro Area",M1,1,G3110,8496669426,1270747469,+36.2401070,-121.3155723
,41540,41540,"Salisbury, MD-DE","Salisbury, MD-DE Metro Area",M1,1,G3110,5435128637,2080606122,+38.3995211,-075.4782615
482,41620,41620,"Salt Lake City, UT","Salt Lake City, UT Metro Area",M1,1,G3110,19901493873,1055947011,+40.5727871,-112.9531375
,41660,41660,"San Angelo, TX","San Angelo, TX Metro Area",M1,1,G3110,6665423693,48281360,+31.3653095,-100.6594181
,41700,41700,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area",M1,1,G3110,18939926777,150513456,+29.4330599,-098.6069734
,41740,41740,"San Diego-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area",M1,1,G3110,10895149811,826195031,+33.0236041,-116.7761174
,41760,41760,"Sandpoint, ID","Sandpoint, ID Micro Area",M2,2,G3110,4488456904,479483844,+48.3246338,-116.6274429
184,41780,41780,"Sandusky, OH","Sandusky, OH Micro Area",M2,2,G3110,651628988,969654879,+41.5540061,-082.5258973
450,41820,41820,"Sanford, NC","Sanford, NC Micro Area",M2,2,G3110,660580380,10752322,+35.4763365,-079.1721174
490,41980,41980,"San Juan-Carolina-Caguas, PR","San Juan-Carolina-Caguas, PR Metro Area",M1,1,G3110,3724340107,1458352586,+18.2946761,-066.0370968
,42020,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",M1,1,G3110,8548640337,815490673,+35.3852242,-120.4475445
488,42100,42100,"Santa Cruz-Watsonville, CA","Santa Cruz-Watsonville, CA Metro Area",M1,1,G3110,1152967330,419570389,+37.0124883,-122.0072050
106,42140,42140,"Santa Fe, NM","Santa Fe, NM Metro Area",M1,1,G3110,4941598720,3647895,+35.5143241,-105.9657706
434,42180,42180,"Santa Isabel, PR","Santa Isabel, PR Micro Area",M2,2,G3110,88144282,111140897,+17.9529217,-066.3875885
,42200,42200,"Santa Maria-Santa Barbara, CA","Santa Maria-Santa Barbara, CA Metro Area",M1,1,G3110,7084000598,2729814515,+34.5370572,-120.0399729
488,42220,42220,"Santa Rosa, CA","Santa Rosa, CA Metro Area",M1,1,G3110,4081437574,497508807,+38.5251824,-122.9261095
,42300,42300,"Sault Ste. Marie, MI","Sault Ste. Marie, MI Micro Area",M2,2,G3110,4036315424,2952479423,+46.3218192,-084.5206297
,42740,42740,"Sedalia, MO","Sedalia, MO Micro Area",M2,2,G3110,1766949639,10503983,+38.7273667,-093.2852073
496,42340,42340,"Savannah, GA","Savannah, GA Metro Area",M1,1,G3110,3478688626,586682078,+32.1091468,-081.2730911
146,42780,42780,"Selinsgrove, PA","Selinsgrove, PA Micro Area",M2,2,G3110,851526093,7157948,+40.7554068,-077.0729288
,42380,42380,"Sayre, PA","Sayre, PA Micro Area",M2,2,G3110,2971750814,35275587,+41.7914949,-076.5021237
,42420,42420,"Scottsbluff, NE","Scottsbluff, NE Micro Area",M2,2,G3110,9200254100,17707405,+42.1633258,-103.7344731
174,42460,42460,"Scottsboro, AL","Scottsboro, AL Micro Area",M2,2,G3110,2791663803,126657151,+34.7641140,-085.9800556
,42540,42540,"Scranton--Wilkes-Barre--Hazleton, PA","Scranton--Wilkes-Barre--Hazleton, PA Metro Area",M1,1,G3110,4523207858,77170602,+41.3228806,-075.8981877
340,42620,42620,"Searcy, AR","Searcy, AR Micro Area",M2,2,G3110,2680890163,18254982,+35.2551175,-091.7530339
500,42660,42660,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA Metro Area",M1,1,G3110,15204949013,1134401546,+47.4905993,-121.8339960
