CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
554,48140,48140,"Wausau, WI","Wausau, WI Metro Area",M1,1,G3110,4001539245,81145909,+44.8980363,-089.7578230
,46100,46100,"Tullahoma-Manchester, TN","Tullahoma-Manchester, TN Micro Area",M2,2,G3110,2881800366,72655813,+35.3030848,-086.1119048
,45300,45300,"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL Metro Area",M1,1,G3110,6512932308,2115146547,+28.1259071,-082.4652858
422,45540,45540,"The Villages, FL","The Villages, FL Metro Area",M1,1,G3110,1417596662,84144128,+28.7142938,-082.0747152
148,49340,49340,"Worcester, MA-CT","Worcester, MA-CT Metro Area",M1,1,G3110,5240884091,199162317,+42.2173112,-071.9255354
,46520,46520,"Urban Honolulu, HI","Urban Honolulu, HI Metro Area",M1,1,G3110,1555505156,4054940027,+21.4613654,-158.2019740
,46380,46380,"Ukiah, CA","Ukiah, CA Micro Area",M2,2,G3110,9081415725,962953346,+39.4323876,-123.4428811
488,46700,46700,"Vallejo-Fairfield, CA","Vallejo-Fairfield, CA Metro Area",M1,1,G3110,2128379537,218647641,+38.2672255,-121.9395940
472,49700,49700,"Yuba City, CA","Yuba City, CA Metro Area",M1,1,G3110,3197220091,46732645,+39.1609692,-121.5118327
,45520,45520,"The Dalles, OR","The Dalles, OR Micro Area",M2,2,G3110,6168179681,35948263,+45.1645359,-121.1650693
472,46020,46020,"Truckee-Grass Valley, CA","Truckee-Grass Valley, CA Micro Area",M2,2,G3110,2480638607,41513172,+39.2975082,-120.7713429
,49420,49420,"Yakima, WA","Yakima, WA Metro Area",M1,1,G3110,11125450097,41102141,+46.4565581,-120.7401446
,48300,48300,"Wenatchee, WA","Wenatchee, WA Metro Area",M1,1,G3110,12276108825,266090154,+47.8211284,-120.2675436
546,47300,47300,"Visalia-Porterville, CA","Visalia-Porterville, CA Metro Area",M1,1,G3110,12494776875,37391591,+36.2288241,-118.7810610
,47460,47460,"Walla Walla, WA","Walla Walla, WA Metro Area",M1,1,G3110,5539408751,87394628,+46.2635366,-118.2558832
,49080,49080,"Winnemucca, NV","Winnemucca, NV Micro Area",M2,2,G3110,24969524844,44196979,+41.4079136,-118.1275915
,46300,46300,"Twin Falls, ID","Twin Falls, ID Micro Area",M2,2,G3110,6522650504,31249801,+42.4403972,-114.5687294
,49740,49740,"Yuma, AZ","Yuma, AZ Metro Area",M1,1,G3110,14281191792,13171316,+32.7739424,-113.9109050
536,46060,46060,"Tucson, AZ","Tucson, AZ Metro Area",M1,1,G3110,23794325411,5273054,+32.1285226,-111.7830267
,46860,46860,"Vernal, UT","Vernal, UT Micro Area",M2,2,G3110,11609285613,56154091,+40.1258872,-109.5177482
,45340,45340,"Taos, NM","Taos, NM Micro Area",M2,2,G3110,5705972272,3385844,+36.5765287,-105.6379865
,48780,48780,"Williston, ND","Williston, ND Micro Area",M2,2,G3110,5381129899,182522303,+48.3557649,-103.5013332
,46900,46900,"Vernon, TX","Vernon, TX Micro Area",M2,2,G3110,2514474407,18257915,+34.0849199,-099.2424397
,49820,49820,"Zapata, TX","Zapata, TX Micro Area",M2,2,G3110,2585876159,154370982,+26.9969806,-099.1826027
,48220,48220,"Weatherford, OK","Weatherford, OK Micro Area",M2,2,G3110,2561032754,34321688,+35.6456012,-098.9973857
556,48620,48620,"Wichita, KS","Wichita, KS Metro Area",M1,1,G3110,12981364606,92855414,+37.6298308,-097.3988319
,49460,49460,"Yankton, SD","Yankton, SD Micro Area",M2,2,G3110,1349811536,28629259,+43.0066072,-097.3883388
544,47020,47020,"Victoria, TX","Victoria, TX Metro Area",M1,1,G3110,4491432535,36383641,+28.7314546,-097.1969934
,47980,47980,"Watertown, SD","Watertown, SD Micro Area",M2,2,G3110,1782118019,75327853,+44.9662852,-097.1988375
,47380,47380,"Waco, TX","Waco, TX Metro Area",M1,1,G3110,4668694471,81529872,+31.4272264,-097.0934727
512,46820,46820,"Vermillion, SD","Vermillion, SD Micro Area",M2,2,G3110,1067562649,13071014,+42.9161495,-096.9804680
538,46140,46140,"Tulsa, OK","Tulsa, OK Metro Area",M1,1,G3110,16237998497,493550071,+36.2541502,-096.1749783
,45820,45820,"Topeka, KS","Topeka, KS Metro Area",M1,1,G3110,8372470747,148307399,+39.0413888,-095.8026393
,49380,49380,"Worthington, MN","Worthington, MN Micro Area",M2,2,G3110,1852113620,19287326,+43.6776863,-095.7631323
540,46340,46340,"Tyler, TX","Tyler, TX Metro Area",M1,1,G3110,2386700344,73067567,+32.3751061,-095.2687428
,48820,48820,"Willmar, MN","Willmar, MN Micro Area",M2,2,G3110,2064994134,168490993,+45.1527137,-095.0049812
538,45140,45140,"Tahlequah, OK","Tahlequah, OK Micro Area",M2,2,G3110,1940958254,69624105,+35.9043668,-094.9967964
,45500,45500,"Texarkana, TX-AR","Texarkana, TX-AR Metro Area",M1,1,G3110,5290957332,213758225,+33.4783701,-094.2071694
312,47660,47660,"Warrensburg, MO","Warrensburg, MO Micro Area",M2,2,G3110,2147833554,10122996,+38.7415280,-093.8118634
,47940,47940,"Waterloo-Cedar Falls, IA","Waterloo-Cedar Falls, IA Metro Area",M1,1,G3110,3893008619,28167535,+42.5367962,-092.4716080
,48460,48460,"West Plains, MO","West Plains, MO Micro Area",M2,2,G3110,2401562305,2913502,+36.7743685,-091.8873677
,49100,49100,"Winona, MN","Winona, MN Micro Area",M2,2,G3110,1621877146,39812978,+43.9822682,-091.7767076
298,46980,46980,"Vicksburg, MS","Vicksburg, MS Micro Area",M2,2,G3110,2786648433,113512128,+32.1817603,-090.8761247
554,49220,49220,"Wisconsin Rapids-Marshfield, WI","Wisconsin Rapids-Marshfield, WI Micro Area",M2,2,G3110,2053722456,42296681,+44.4614126,-090.0388252
522,45380,45380,"Taylorville, IL","Taylorville, IL Micro Area",M2,2,G3110,1837278859,16221514,+39.5455242,-089.2795927
362,46460,46460,"Union City, TN-KY","Union City, TN-KY Micro Area",M2,2,G3110,1944535953,91518983,+36.4088231,-089.1626826
376,48020,48020,"Watertown-Fort Atkinson, WI","Watertown-Fort Atkinson, WI Micro Area",M2,2,G3110,1441234317,68110734,+43.0138045,-088.7739847
,46180,46180,"Tupelo, MS","Tupelo, MS Micro Area",M2,2,G3110,3834425194,36689832,+34.2682708,-088.6829073
376,48580,48580,"Whitewater-Elkhorn, WI","Whitewater-Elkhorn, WI Micro Area",M2,2,G3110,1438080813,55247228,+42.6681095,-088.5417306
,46220,46220,"Tuscaloosa, AL","Tuscaloosa, AL Metro Area",M1,1,G3110,7373818335,131651808,+33.1606112,-087.7151664
,47180,47180,"Vincennes, IN","Vincennes, IN Micro Area",M2,2,G3110,1336514522,20754774,+38.6883910,-087.4203544
,45460,45460,"Terre Haute, IN","Terre Haute, IN Metro Area",M1,1,G3110,3794391201,51269526,+39.3923890,-087.3470958
,47780,47780,"Washington, IN","Washington, IN Micro Area",M2,2,G3110,1112370962,19127827,+38.6945459,-087.0727590
142,45180,45180,"Talladega-Sylacauga, AL","Talladega-Sylacauga, AL Micro Area",M2,2,G3110,3594135648,100885786,+33.1860858,-086.1977569
,45980,45980,"Troy, AL","Troy, AL Micro Area",M2,2,G3110,1740741211,2336975,+31.7986508,-085.9416035
,45900,45900,"Traverse City, MI","Traverse City, MI Micro Area",M2,2,G3110,4379940086,7440196064,+44.9523239,-085.9083200
,47700,47700,"Warsaw, IN","Warsaw, IN Micro Area",M2,2,G3110,1376372907,59498372,+41.2442928,-085.8615754
,47340,47340,"Wabash, IN","Wabash, IN Micro Area",M2,2,G3110,1068206218,22115988,+40.8437475,-085.7951915
194,46740,46740,"Valley, AL","Valley, AL Micro Area",M2,2,G3110,1545009121,17048126,+32.9155039,-085.3940321
338,46780,46780,"Van Wert, OH","Van Wert, OH Micro Area",M2,2,G3110,1059698928,3281853,+40.8555203,-084.5857751
122,45580,45580,"Thomaston, GA","Thomaston, GA Micro Area",M2,2,G3110,837696991,10663279,+32.8818366,-084.2922810
533,45220,45220,"Tallahassee, FL","Tallahassee, FL Metro Area",M1,1,G3110,6184050070,556601745,+30.3864276,-084.2804098
338,47540,47540,"Wapakoneta, OH","Wapakoneta, OH Micro Area",M2,2,G3110,1039599279,1345186,+40.5613090,-084.2240177
,45620,45620,"Thomasville, GA","Thomasville, GA Micro Area",M2,2,G3110,1410510137,19728196,+30.8646064,-083.9198196
178,48940,48940,"Wilmington, OH","Wilmington, OH Micro Area",M2,2,G3110,1058487158,9351754,+39.4290042,-083.7950485
212,46500,46500,"Urbana, OH","Urbana, OH Micro Area",M2,2,G3110,1110247662,3015668,+40.1327594,-083.7675425
534,45780,45780,"Toledo, OH","Toledo, OH Metro Area",M1,1,G3110,3531467479,673611709,+41.5439974,-083.6908887
356,47580,47580,"Warner Robins, GA","Warner Robins, GA Metro Area",M1,1,G3110,2006923538,19556095,+32.4015944,-083.6350953
,45700,45700,"Tifton, GA","Tifton, GA Micro Area",M2,2,G3110,675661214,20499404,+31.4570027,-083.5259307
198,47920,47920,"Washington Court House, OH","Washington Court House, OH Micro Area",M2,2,G3110,1052458587,1705317,+39.5552748,-083.4619451
,45740,45740,"Toccoa, GA","Toccoa, GA Micro Area",M2,2,G3110,463948062,13121983,+34.5529139,-083.2902156
,46660,46660,"Valdosta, GA","Valdosta, GA Metro Area",M1,1,G3110,4116441967,102347892,+30.8274985,-083.2421316
